"activation","group","sph_time","donor","viab_total_pct","viab_cd19pos_pct","viab_cd19neg_pct","citotox_total_pct","citotox_cd19pos_pct"
"ACTIVADAS","Sph+CAR-T",72,"D1",149.2,218.6,93,-49.2,-118.6
"ACTIVADAS","Sph+CAR-T",72,"D2",142.5,191.2,100.4,-42.5,-91.2
"ACTIVADAS","Sph+CAR-T",72,"mean",145.8,204.9,96.7,-45.9,-104.9
"ACTIVADAS","Sph+CAR-T",96,"D1",207.2,460,190.2,-107.2,-360
"ACTIVADAS","Sph+CAR-T",96,"D2",181.7,610,172.5,-81.7,-510
"ACTIVADAS","Sph+CAR-T",96,"mean",194.4,535,181.3,-94.4,-435
"ACTIVADAS","Sph+PBMC",48,"D1",70.5,129.2,59.6,29.5,-29.2
"ACTIVADAS","Sph+PBMC",48,"D2",74.7,38.1,81.8,25.3,61.9
"ACTIVADAS","Sph+PBMC",48,"mean",72.6,83.6,70.7,27.4,16.4
"ACTIVADAS","Sph+PBMC",72,"D1",155.3,164.9,141.7,-55.3,-64.9
"ACTIVADAS","Sph+PBMC",72,"D2",111.8,116.3,107.2,-11.8,-16.3
"ACTIVADAS","Sph+PBMC",72,"mean",133.6,140.6,124.4,-33.5,-40.6
"ACTIVADAS","Sph+PBMC",96,"D1",220.4,630,211.5,-120.4,-530
"ACTIVADAS","Sph+PBMC",96,"D2",183.7,660,173.3,-83.7,-560
"ACTIVADAS","Sph+PBMC",96,"mean",202.1,645,192.4,-102.1,-545
"ACTIVADAS","Sph+PBMC+CAR-T",72,"D1",116.3,41,188.2,-16.3,59
"ACTIVADAS","Sph+PBMC+CAR-T",72,"D2",144.2,174.7,116.4,-44.2,-74.7
"ACTIVADAS","Sph+PBMC+CAR-T",72,"mean",130.2,107.8,152.3,-30.2,-7.9
"ACTIVADAS","Sph+PBMC+CAR-T",96,"D1",182.6,1000,161.2,-82.6,-900
"ACTIVADAS","Sph+PBMC+CAR-T",96,"D2",49.5,90,48.6,50.5,10
"ACTIVADAS","Sph+PBMC+CAR-T",96,"mean",116,545,104.9,-16,-445
"NO_ACTIVADOS","Sph+CAR-T",72,"D1",146.4,592.8,103,-46.4,-492.8
"NO_ACTIVADOS","Sph+CAR-T",72,"D2",115.8,138.6,115,-15.8,-38.6
"NO_ACTIVADOS","Sph+CAR-T",72,"mean",131.1,365.7,109,-31.1,-265.7
"NO_ACTIVADOS","Sph+CAR-T",96,"D1",281.9,370.3,281.2,-181.9,-270.3
"NO_ACTIVADOS","Sph+CAR-T",96,"D2",161.9,209.9,140,-61.9,-109.9
"NO_ACTIVADOS","Sph+CAR-T",96,"mean",221.9,290.1,210.6,-121.9,-190.1
"NO_ACTIVADOS","Sph+PBMC",48,"D1",105.5,183.2,99.7,-5.5,-83.2
"NO_ACTIVADOS","Sph+PBMC",48,"D2",103.1,114.2,103.2,-3.1,-14.2
"NO_ACTIVADOS","Sph+PBMC",48,"mean",104.3,148.7,101.4,-4.3,-48.7
"NO_ACTIVADOS","Sph+PBMC",72,"D1",142.1,144.5,144.3,-42.1,-44.5
"NO_ACTIVADOS","Sph+PBMC",72,"D2",64.6,43.7,65.7,35.4,56.3
"NO_ACTIVADOS","Sph+PBMC",72,"mean",103.3,94.1,105,-3.4,5.9
"NO_ACTIVADOS","Sph+PBMC",96,"D1",45.6,16.2,47.8,54.4,83.8
"NO_ACTIVADOS","Sph+PBMC",96,"D2",65,162.2,60.3,35,-62.2
"NO_ACTIVADOS","Sph+PBMC",96,"mean",55.3,89.2,54,44.7,10.8
"NO_ACTIVADOS","Sph+PBMC+CAR-T",72,"D1",141.7,46.6,149.9,-41.7,53.4
"NO_ACTIVADOS","Sph+PBMC+CAR-T",72,"D2",96,56.8,97.9,4,43.2
"NO_ACTIVADOS","Sph+PBMC+CAR-T",72,"mean",118.8,51.7,123.9,-18.9,48.3
"NO_ACTIVADOS","Sph+PBMC+CAR-T",96,"D1",87.3,301.8,73.8,12.7,-201.8
"NO_ACTIVADOS","Sph+PBMC+CAR-T",96,"D2",120.4,276.6,112.6,-20.4,-176.6
"NO_ACTIVADOS","Sph+PBMC+CAR-T",96,"mean",103.8,289.2,93.2,-3.8,-189.2
